Fig.12(a),simulation,,,,,,theory,,,,,,,
,,,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°,,
,t,s,t,s,t,s,t,s,t,s,t,s,,
,0.3296,0.00685333333333333,0.3296,0.00621333333333333,0.5024,0.00628,,,,,,,,
,0.3328,0.00689333333333333,0.3328,0.00624,0.5056,0.00630666666666667,,,,,,,,
,0.336,0.00693333333333333,0.336,0.00628,0.5088,0.00633333333333333,,,,,,,,
,0.3392,0.00697333333333333,0.3392,0.00632,0.5152,0.00637333333333333,,,,,,,,
,0.3424,0.00701333333333333,0.3424,0.00634666666666667,0.5184,0.0064,,,,,,,,
,0.3456,0.00705333333333333,0.3456,0.00638666666666667,0.5216,0.00642666666666667,,,,,,,,
,0.3488,0.00709333333333333,0.3488,0.00642666666666667,0.5312,0.00649333333333333,,,,,,,,
,0.352,0.00713333333333333,0.352,0.00645333333333333,0.5344,0.00652,,,,,,,,
,0.3552,0.00716,0.3552,0.00649333333333333,0.544,0.00658666666666667,,,,,,,,
,0.3584,0.0072,0.3584,0.00653333333333333,0.5568,0.00668,,,,,,,,
,0.3616,0.00724,0.3616,0.00656,0.6048,0.00701333333333333,,,,,,,,
,0.3648,0.00728,0.3648,0.0066,0.6144,0.00708,,,,,,,,
,0.368,0.00732,0.368,0.00664,0.624,0.00714666666666667,,,,,,,,
,0.3712,0.00736,0.3712,0.00666666666666667,0.6304,0.00718666666666667,,,,,,,,
,0.3744,0.0074,0.3744,0.00670666666666667,0.64,0.00725333333333333,,,,,,,,
,0.3776,0.00742666666666667,0.3776,0.00673333333333333,0.6464,0.00729333333333333,,,,,,,,
,0.3808,0.00746666666666667,0.3808,0.00677333333333333,0.6496,0.00732,,,,,,,,
,0.384,0.00750666666666667,0.384,0.0068,0.656,0.00736,,,,,,,,
,0.3872,0.00754666666666667,0.3872,0.00684,0.6624,0.0074,,,,,,,,
,0.3904,0.00758666666666667,0.3904,0.00688,0.6688,0.00744,,,,,,,,
,0.3936,0.00761333333333333,0.3936,0.00690666666666667,0.672,0.00746666666666667,,,,,,,,
,0.3968,0.00765333333333333,0.3968,0.00694666666666667,0.6752,0.00748,,,,,,,,
,0.4,0.00769333333333333,0.4,0.00697333333333333,0.6784,0.00750666666666667,,,,,,,,
,0.4032,0.00773333333333333,0.4032,0.00701333333333333,0.6848,0.00754666666666667,,,,,,,,
,0.4064,0.00776,0.4064,0.00704,0.6912,0.00758666666666667,,,,,,,,
,0.4096,0.0078,0.4096,0.00708,0.6976,0.00762666666666667,,,,,,,,
,0.4128,0.00784,0.4128,0.00710666666666667,0.7008,0.00765333333333333,,,,,,,,
