case,radius,eps_solid,indicator,near_count,grad_mean,grad_std,grad_max,grad_p99,normal_alignment_min,normal_alignment_mean,normal_jump_mean,normal_jump_max,normal_jump_p99
sphere,12.0,1.2,diffuse,7312,0.2012932446959603,0.056909063042852946,0.2824623275475862,0.2816190344572907,0.9994341000694421,0.9998880200442977,0.06688748286233917,0.09950124935658414,0.09690257361014704
sphere,12.0,1.2,sharp,7312,0.2678537682879557,0.33475632725743576,0.8660254037844386,0.8660254037844386,0.6609789738588476,0.9160072195457677,0.371328897090753,0.9194016867619662,0.9194016867619662
plane,12.0,1.25,diffuse,36864,0.1973356642755818,0.04412278118546393,0.24145844546104572,0.24145844546104572,1.0,1.0,5.388617075862786e-18,1.3499051986992533e-15,2.2989939790784164e-16
plane,12.0,1.25,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,12.0,1.25,diffuse,28800,0.198043409710228,0.04981092991319667,0.2681177749502826,0.2681177749502826,0.9997039880775984,0.9999272187579603,0.035142872056390426,0.0986511060498178,0.09643823541410333
cylinder_z,12.0,1.25,sharp,28800,0.26142135623730955,0.30275216680157013,0.7071067811865476,0.7071067811865476,0.8411784753765535,0.9569711699704605,0.12302255171887355,0.7653668647301795,0.7653668647301795
sphere,12.0,1.25,diffuse,7312,0.19758842100449214,0.05269809452511821,0.2719894267752596,0.2712353590495643,0.9995649343505607,0.9999081693236195,0.06681178329919665,0.09855042247793026,0.09691898685151437
sphere,12.0,1.25,sharp,7312,0.2678537682879557,0.33475632725743576,0.8660254037844386,0.8660254037844386,0.6609789738588476,0.9160072195457677,0.371328897090753,0.9194016867619662,0.9194016867619662
plane,12.0,1.5,diffuse,36864,0.17948012193078394,0.030592786176053932,0.21007290810683787,0.21007290810683787,1.0,1.0,3.4349586064414095e-18,7.474035908929603e-16,1.0859290593693269e-16
plane,12.0,1.5,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,12.0,1.5,diffuse,28800,0.18000050597537867,0.034595461008840464,0.22689929289411928,0.22689929289411928,0.9998693634099296,0.9999669935271298,0.03500544917324348,0.0969781690351953,0.09675243703961167
cylinder_z,12.0,1.5,sharp,28800,0.26142135623730955,0.30275216680157013,0.7071067811865476,0.7071067811865476,0.8411784753765535,0.9569711699704605,0.12302255171887355,0.7653668647301795,0.7653668647301795
sphere,12.0,1.5,diffuse,7312,0.17976802124848146,0.03646390341415777,0.22917420493043905,0.22872315523475378,0.9998147253817334,0.9999595902233182,0.06658911210565646,0.0984338917683978,0.09736696240055019
sphere,12.0,1.5,sharp,7312,0.2678537682879557,0.33475632725743576,0.8660254037844386,0.8660254037844386,0.6609789738588476,0.9160072195457677,0.371328897090753,0.9194016867619662,0.9194016867619662
plane,16.0,0.8,diffuse,36864,0.23055366545218525,0.09031581803561478,0.32086948348780003,0.32086948348780003,1.0,1.0,2.1688327059907206e-18,4.893243326280583e-16,0.0
plane,16.0,0.8,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,16.0,0.8,diffuse,38784,0.22988211077381746,0.10291943332917608,0.3850617537593455,0.3850617537593455,0.9966428173244796,0.9993856052374457,0.03221777727120642,0.11262635512937082,0.10918246947638227
cylinder_z,16.0,0.8,sharp,38784,0.2617329588370733,0.2998527969563554,0.7071067811865476,0.7071067811865476,0.8454889030309709,0.9551776237296533,0.1492943594719033,0.7653668647301795,0.7653668647301795
sphere,16.0,0.8,diffuse,12928,0.23094672482258533,0.10852534712659825,0.4054750512535049,0.3982735378348242,0.9947158330838576,0.9991724667036309,0.057087268737772506,0.12885535024506994,0.11491098139430798
sphere,16.0,0.8,sharp,12928,0.27240479753278407,0.3379701822689467,0.8660254037844386,0.8660254037844386,0.6912800532450315,0.9144553020996923,0.41225857491190127,1.1547005383792517,0.9194016867619662
plane,16.0,1.0,diffuse,36864,0.216160069998046,0.06519980393269727,0.28135987393074324,0.28135987393074324,1.0,1.0,0.0,0.0,0.0
plane,16.0,1.0,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,16.0,1.0,diffuse,38784,0.2157597101897446,0.07447199580208187,0.32239352312611463,0.32239352312611463,0.9989900534805234,0.9998014801423366,0.028265239546458484,0.08253088996993492,0.08125994435785636
cylinder_z,16.0,1.0,sharp,38784,0.2617329588370733,0.2998527969563554,0.7071067811865476,0.7071067811865476,0.8454889030309709,0.9551776237296533,0.1492943594719033,0.7653668647301795,0.7653668647301795
sphere,16.0,1.0,diffuse,12928,0.21682567633593852,0.07804308913435203,0.33401234615229525,0.32990023231004434,0.9982040431262272,0.9997373511743626,0.05219193765259296,0.08531858062031997,0.0809683284177084
