case,radius,eps_solid,theta_deg,ghost_count,raw_min,raw_max,raw_mean,clamped_min,clamped_max,clamped_mean,clamp_fraction,max_clamp_excess,mean_clamp_excess,bounded
plane,20.0,0.8,120.0,18432,5.205144674675305e-16,0.9999999999996184,0.4478774955135243,5.205144674675305e-16,0.9999999999996184,0.4478774955135243,0.0,0.0,0.0,True
cylinder_z,20.0,0.8,60.0,16512,1.6274469774182032e-15,0.999999999999863,0.4673490320608372,1.6274469774182032e-15,0.999999999999863,0.4673490320608372,0.0,0.0,0.0,True
cylinder_z,20.0,0.8,90.0,16512,1.1657341758564144e-15,0.9999999999997455,0.45772650509443186,1.1657341758564144e-15,0.9999999999997455,0.45772650509443186,0.0,0.0,0.0,True
cylinder_z,20.0,0.8,120.0,16512,5.500797674456951e-16,0.9999999999996281,0.44810397812802655,5.500797674456951e-16,0.9999999999996281,0.44810397812802655,0.0,0.0,0.0,True
sphere,20.0,0.8,60.0,7920,8.050796141116271e-08,0.9999847893713205,0.4264850986282765,8.050796141116271e-08,0.9999847893713205,0.4264850986282765,0.0,0.0,0.0,True
sphere,20.0,0.8,90.0,7920,7.457418532696991e-08,0.9999828360668265,0.405002458417623,7.457418532696991e-08,0.9999828360668265,0.405002458417623,0.0,0.0,0.0,True
sphere,20.0,0.8,120.0,7920,6.293382415944685e-08,0.9999824101476653,0.38351981820696945,6.293382415944685e-08,0.9999824101476653,0.38351981820696945,0.0,0.0,0.0,True
plane,20.0,1.0,60.0,18432,1.8473587210721893e-15,0.9999999999999125,0.46952813060812976,1.8473587210721893e-15,0.9999999999999125,0.46952813060812976,0.0,0.0,0.0,True
plane,20.0,1.0,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,20.0,1.0,120.0,18432,3.7308732817812406e-16,0.9999999999995884,0.4454718693919016,3.7308732817812406e-16,0.9999999999995884,0.4454718693919016,0.0,0.0,0.0,True
cylinder_z,20.0,1.0,60.0,16512,1.7428298022380268e-15,0.9999999999999148,0.4697546458466173,1.7428298022380268e-15,0.9999999999999148,0.4697546458466173,0.0,0.0,0.0,True
cylinder_z,20.0,1.0,90.0,16512,1.1657341758564144e-15,0.9999999999997455,0.45772650509443186,1.1657341758564144e-15,0.9999999999997455,0.45772650509443186,0.0,0.0,0.0,True
cylinder_z,20.0,1.0,120.0,16512,3.615757566357873e-16,0.9999999999995988,0.4456983643422463,3.615757566357873e-16,0.9999999999995988,0.4456983643422463,0.0,0.0,0.0,True
sphere,20.0,1.0,60.0,7920,8.097512511209457e-08,0.9999859076306699,0.43184429049174505,8.097512511209457e-08,0.9999859076306699,0.43184429049174505,0.0,0.0,0.0,True
sphere,20.0,1.0,90.0,7920,7.457418532696991e-08,0.9999828360668265,0.405002458417623,7.457418532696991e-08,0.9999828360668265,0.405002458417623,0.0,0.0,0.0,True
sphere,20.0,1.0,120.0,7920,5.793715258179842e-08,0.9999823117351174,0.37816062634350084,5.793715258179842e-08,0.9999823117351174,0.37816062634350084,0.0,0.0,0.0,True
plane,20.0,1.2,60.0,18432,1.990430401641098e-15,0.9999999999999968,0.47193375672975235,1.990430401641098e-15,0.9999999999999968,0.47193375672975235,0.0,0.0,0.0,True
plane,20.0,1.2,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,20.0,1.2,120.0,18432,5.3814810353426944e-18,0.9999999999995584,0.44306624327027877,5.3814810353426944e-18,0.9999999999995584,0.44306624327027877,0.0,0.0,0.0,True
