case,radius,near_band,ghost_band,eps_solid,diffuse_grad_std,sharp_grad_std,diffuse_grad_max,sharp_grad_max,grad_std_improvement,grad_max_improvement,diffuse_jump_p99,sharp_jump_p99,jump_p99_improvement,diffuse_alignment_min,max_ghost_clamp_fraction,max_ghost_clamp_excess,all_shadow_ghost_bounded,b1_pass
sphere,20.0,2.0,1.5,1.5,0.03663660881202506,0.3369744313497377,0.22975317162735734,0.8660254037844386,9.197751710009094,3.76937300865238,0.05577723248083015,0.9194016867619662,16.483458319269456,0.9998072028455536,0.32323232323232326,0.008204153461511945,True,True
plane,24.0,2.0,1.5,0.8,0.09031581803561478,0.25,0.32086948348780003,0.5,2.7680643926783235,1.558265979566146,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,24.0,2.0,1.5,0.8,0.10213605503516243,0.30105505787571846,0.3910839466475493,0.7071067811865476,2.9475884668942234,1.8080690533273225,0.09242764496502204,0.7653668647301795,8.28071368712058,0.9964773431804954,0.0,0.0,True,True
sphere,24.0,2.0,1.5,0.8,0.10877952212464977,0.33632638868683673,0.4068292750031728,0.8660254037844386,3.091817118863994,2.128719482583166,0.10663077324838902,0.9194016867619662,8.622292221592387,0.9950941651840407,0.0,0.0,True,True
plane,24.0,2.0,1.5,1.0,0.06519980393269727,0.25,0.28135987393074324,0.5,3.834367358804689,1.7770835372320186,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,24.0,2.0,1.5,1.0,0.07384531411041854,0.30105505787571846,0.3260734146847455,0.7071067811865476,4.076833601459944,2.1685508518693344,0.06449092032515173,0.7653668647301795,11.867823576890142,0.9988432933363862,0.0,0.0,True,True
sphere,24.0,2.0,1.5,1.0,0.07827703952459733,0.33632638868683673,0.33486883302882686,0.8660254037844386,4.296616105175406,2.5861630536093743,0.06944353560897168,0.9194016867619662,13.239557558517875,0.9984604028048142,0.0,0.0,True,True
plane,24.0,2.0,1.5,1.2,0.047620283794436155,0.25,0.24868704462713107,0.5,5.249863715201324,2.010559097478017,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,24.0,2.0,1.5,1.2,0.05399165778746038,0.30105505787571846,0.2782120732809959,0.7071067811865476,5.575955068111259,2.541610695925354,0.05267913722437751,0.7653668647301795,14.5288420626601,0.9996215030055625,0.0,3.161804504648192e-17,True,True
sphere,24.0,2.0,1.5,1.2,0.057008991520624865,0.33632638868683673,0.2835524721786396,0.8660254037844386,5.899532331933282,3.054198036541321,0.05204823535860456,0.9194016867619662,17.66441610224489,0.9995018417840252,0.0,0.0,True,True
plane,24.0,2.0,1.5,1.25,0.04412278118546393,0.25,0.24145844546104572,0.5,5.6660072933562375,2.070749685500914,2.2989939790784164e-16,0.0,0.0,1.0,0.390625,0.00020577545689597597,True,True
cylinder_z,24.0,2.0,1.5,1.25,0.05004175037580628,0.30105505787571846,0.26823203487905584,0.7071067811865476,6.016077687427772,2.6361757330938405,0.05129671691786694,0.7653668647301795,14.92038693149966,0.9996920824374634,0.3879751461988304,0.00020576219281878694,True,True
sphere,24.0,2.0,1.5,1.25,0.052793120850423494,0.33632638868683673,0.2729971566364156,0.8660254037844386,6.370647979681595,3.172287266485463,0.05047426048405538,0.9194016867619662,18.2152581918937,0.9995967611242187,0.08906030855539972,0.00016165254373392418,True,True
plane,24.0,2.0,1.5,1.5,0.030592786176053932,0.25,0.21007290810683787,0.5,8.171861123119408,2.3801260453142885,1.0859290593693269e-16,0.0,0.0,1.0,0.4479166666666667,0.008362571581525965,True,True
cylinder_z,24.0,2.0,1.5,1.5,0.034760849558168404,0.30105505787571846,0.2270506274554265,0.7071067811865476,8.660750864904392,3.11431326621356,0.04707053883839309,0.7653668647301795,16.259997943892408,0.9998483347408649,0.4479166666666667,0.008358319154232213,True,True
sphere,24.0,2.0,1.5,1.5,0.03653829025573867,0.33632638868683673,0.2298911611282394,0.8660254037844386,9.204765366217803,3.767110486258959,0.046516108075394254,0.9194016867619662,19.765232406627426,0.9998017130898933,0.3222300140252454,0.008248319479534028,True,True
