step,group,bin,active_count,limiter_count,limiter_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50
600,c_bin,c_0p95_1,20,0,0.0,0.1527384760094813,0.15273847600948193,1.0
600,tangent_bin,t_0_0p005,0,0,nan,nan,nan,nan
600,tangent_bin,t_0p005_0p01,48,0,0.0,0.03555334961231927,0.03555337263116132,1.0
600,tangent_bin,t_0p01_0p025,228,0,0.0,0.10071348174810253,0.11693472932409445,1.0
600,tangent_bin,t_0p025_0p05,164,0,0.0,0.19301266773849649,0.20372646295370578,1.0
600,tangent_bin,t_0p05_0p10,292,268,0.9178082191780822,0.4125244764311713,0.42850339485043487,0.7451651237890582
600,tangent_bin,t_0p10_inf,144,144,1.0,0.6718617652554093,0.6730277506813926,0.44043989145537454
600,normal_agreement_bin,normal_0_0p5,0,0,nan,nan,nan,nan
600,normal_agreement_bin,normal_0p5_0p9,0,0,nan,nan,nan,nan
600,normal_agreement_bin,normal_0p9_0p99,220,116,0.5272727272727272,0.6268956221306082,0.6367001017081002,0.9972881141962393
600,normal_agreement_bin,normal_0p99_1p01,656,296,0.45121951219512196,0.5855200994392455,0.6730277236444272,1.0
600,c_x_tangent:c_0_0p05,t_0_0p005,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0_0p05,t_0p005_0p01,48,0,0.0,0.03555334961231927,0.03555337263116132,1.0
600,c_x_tangent:c_0_0p05,t_0p01_0p025,164,0,0.0,0.07779815305658035,0.09364094440530624,1.0
600,c_x_tangent:c_0_0p05,t_0p025_0p05,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0_0p05,t_0p05_0p10,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0_0p05,t_0p10_inf,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p05_0p10,t_0_0p005,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p05_0p10,t_0p005_0p01,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p05_0p10,t_0p01_0p025,52,0,0.0,0.10219263108330988,0.10219263993079389,1.0
600,c_x_tangent:c_0p05_0p10,t_0p025_0p05,112,0,0.0,0.20372644401803397,0.20372646482437753,1.0
600,c_x_tangent:c_0p05_0p10,t_0p05_0p10,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p05_0p10,t_0p10_inf,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p10_0p30,t_0_0p005,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p10_0p30,t_0p005_0p01,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p10_0p30,t_0p01_0p025,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p10_0p30,t_0p025_0p05,36,0,0.0,0.19301266714038054,0.19301266773849585,1.0
600,c_x_tangent:c_0p10_0p30,t_0p05_0p10,160,136,0.85,0.4013757736422206,0.42850339605843746,0.7695672129331785
600,c_x_tangent:c_0p10_0p30,t_0p10_inf,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p30_0p70,t_0_0p005,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p30_0p70,t_0p005_0p01,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p30_0p70,t_0p01_0p025,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p30_0p70,t_0p025_0p05,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p30_0p70,t_0p05_0p10,32,32,1.0,0.3804364092029127,0.38043641111095,0.6620524758447477
600,c_x_tangent:c_0p30_0p70,t_0p10_inf,128,128,1.0,0.6730277236444274,0.6730277506926092,0.4269708251029388
600,c_x_tangent:c_0p70_0p90,t_0_0p005,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p70_0p90,t_0p005_0p01,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p70_0p90,t_0p01_0p025,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p70_0p90,t_0p025_0p05,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p70_0p90,t_0p05_0p10,88,88,1.0,0.4125245111696199,0.41252452331136913,0.6811112850920256
600,c_x_tangent:c_0p70_0p90,t_0p10_inf,16,16,1.0,0.5078353295701151,0.5078353295701169,0.5102317856470603
600,c_x_tangent:c_0p90_0p95,t_0_0p005,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p90_0p95,t_0p005_0p01,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p90_0p95,t_0p01_0p025,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p90_0p95,t_0p025_0p05,8,0,0.0,0.1888839143721562,0.18888391437215704,1.0
600,c_x_tangent:c_0p90_0p95,t_0p05_0p10,12,12,1.0,0.26366527766637426,0.2636652776663763,0.9972881141962393
600,c_x_tangent:c_0p90_0p95,t_0p10_inf,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p95_1,t_0_0p005,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p95_1,t_0p005_0p01,0,0,nan,nan,nan,nan
600,c_x_tangent:c_0p95_1,t_0p01_0p025,12,0,0.0,0.11693473672056452,0.11693473672056541,1.0
600,c_x_tangent:c_0p95_1,t_0p025_0p05,8,0,0.0,0.1527384760094818,0.15273847600948204,1.0
