candidate_count,candidate_max,candidate_max_abs,candidate_mean,candidate_min,candidate_nonfinite,candidate_p95_abs,candidate_std,diff_count,diff_max,diff_max_abs,diff_mean,diff_min,diff_nonfinite,diff_p95_abs,diff_std,field,reference_count,reference_max,reference_max_abs,reference_mean,reference_min,reference_nonfinite,reference_p95_abs,reference_std,region
800,0.0,0.0,0.0,0.0,0,0.0,0.0,800,1.5416666666666667,1.5416666666666667,0.189861102037084,-0.75,0,1.1944444444444444,0.6231099511878028,current_lap_vs_periodic,800,0.75,1.5416666666666667,-0.189861102037084,-1.5416666666666667,0,1.1944444444444444,0.6231099511878028,cylinder_overlap_boundary
50824,0.0,0.0,0.0,0.0,0,0.0,0.0,50824,1.0142869661070408,1.0142869661070408,6.766297708732562e-11,-1.0,0,1.0000000005894103,0.40035197091715957,current_lap_vs_periodic,50824,1.0,1.0142869661070408,-6.766297708732562e-11,-1.0142869661070408,0,1.0000000005894103,0.40035197091715957,outer_boundary
884736,0.5000001734296805,0.5000001734296805,0.00016552871187484468,-0.38930917932063475,0,0.04329854042019107,0.026614950805524545,884736,0.500000028334087,0.500000028334087,0.00033105742374968546,-0.311437034092128,0,3.5673993080563736e-11,0.012267752280917837,current_lap_vs_center_boundary,884736,0.2825153152906792,0.5,-0.00016552871187484064,-0.5,0,0.04350301894079629,0.026477236407410818,all
763392,0.5000001734296805,0.5000001734296805,0.00019184011678050416,-0.38930917932063475,0,0.05949226074517583,0.028652160811496255,763392,0.500000028334087,0.500000028334087,0.00036955571165445654,-0.311437034092128,0,8.90805022339216e-12,0.012794767057412497,current_lap_vs_center_boundary,763392,0.2107414174328093,0.5,-0.00017771559487395237,-0.5,0,0.05821219953344863,0.028315604765403946,offline_fluid
711768,0.5000001734296805,0.5000001734296805,0.00020575413678235426,-0.38930917932063475,0,0.06699126516830184,0.029672985660811686,711768,0.500000028334087,0.500000028334087,0.00020575413678234855,-0.311437034092128,0,2.035407720867759e-15,0.009610292311790834,current_lap_vs_center_boundary,711768,0.2107414174328093,0.24141684313359202,5.525029490116533e-18,-0.24141684313359202,0,0.06445060233127113,0.027868143287029364,tclb_fluid
38836,0.3392089450698752,0.38930917932063475,-0.003161057205331177,-0.38930917932063475,0,0.1599351746872898,0.11524888847731148,38836,0.5,0.5,0.0032537342689322726,-0.311437034092128,0,0.018355498549836355,0.04068241885932366,current_lap_vs_center_boundary,38836,0.2107414174328093,0.5,-0.006414791474263449,-0.5,0,0.15995189189918507,0.12019789908482809,interface_offline_fluid
37484,0.3392089450698752,0.38930917932063475,-0.003275072500966855,-0.38930917932063475,0,0.15998630581748993,0.11730732589603551,37484,0.1724213109847472,0.311437034092128,-0.0002576138797107019,-0.311437034092128,0,0.003546938071177169,0.012015218441951908,current_lap_vs_center_boundary,37484,0.2107414174328093,0.24141684313359202,-0.0030174586212561535,-0.24141684313359202,0,0.15957812101341393,0.11584850411238817,interface_tclb_fluid
2856,0.3392089450698752,0.38930917932063475,-0.0036868916497445874,-0.38930917932063475,0,0.2201319627348083,0.12247371750510788,2856,0.5,0.5,0.04424440618636353,-0.311437034092128,0,0.4305555555069927,0.14298985208804255,current_lap_vs_center_boundary,2856,0.2107414174328093,0.5,-0.047931297836108104,-0.5,0,0.4305555555069927,0.1738317303316929,near_interface
2540,0.3392089450698752,0.38930917932063475,-0.004145575807744311,-0.38930917932063475,0,0.22285072871159162,0.12986157340848273,2540,0.1724213109847472,0.311437034092128,-0.0036632437176079267,-0.311437034092128,0,0.1013472864793393,0.044495058839650325,current_lap_vs_center_boundary,2540,0.2107414174328093,0.24141684313359202,-0.000482332090136382,-0.24141684313359202,0,0.16696323583374323,0.11559473213824831,near_interface_tclb_fluid
872,0.3392089450698752,0.38930917932063475,-0.00653203231674452,-0.38930917932063475,0,0.2592578890827144,0.12310731603181306,872,0.5,0.5,0.15014454122929616,-0.311437034092128,0,0.4861111111111111,0.22052873481651883,current_lap_vs_center_boundary,872,0.2107414174328093,0.5,-0.15667657354604073,-0.5,0,0.4861111111111111,0.22906188763293386,contact_core
556,0.3392089450698752,0.38930917932063475,-0.010244482338491406,-0.38930917932063475,0,0.27119058551889796,0.1540483244023952,556,0.1724213109847472,0.311437034092128,-0.008526300645741136,-0.311437034092128,0,0.1722273939495113,0.07470871689788296,current_lap_vs_center_boundary,556,0.2107414174328093,0.24141684313359202,-0.0017181816927502628,-0.24141684313359202,0,0.21166237119722256,0.1217012797691001,contact_core_tclb_fluid
51624,0.0,0.0,0.0,0.0,0,0.0,0.0,51624,0.5,0.5,0.0026279765884476246,-0.022858615591062108,0,0.0005352673184807386,0.033792808191814426,current_lap_vs_center_boundary,51624,0.022858615591062108,0.5,-0.0026279765884476246,-0.5,0,0.0005352673184807386,0.033792808191814426,offline_fluid_tclb_boundary
800,0.0,0.0,0.0,0.0,0,0.0,0.0,800,0.5,0.5,0.16958332853608746,-5.993971821969167e-09,0,0.4861111111111111,0.21188222128973658,current_lap_vs_center_boundary,800,5.993971821969167e-09,0.5,-0.16958332853608746,-0.5,0,0.4861111111111111,0.21188222128973658,cylinder_overlap_boundary
50824,0.0,0.0,0.0,0.0,0,0.0,0.0,50824,0.024622597250528407,0.024622597250528407,1.1277156557258452e-11,-0.022858615591062108,0,0.00025482401004374466,0.0027583401958417952,current_lap_vs_center_boundary,50824,0.022858615591062108,0.024622597250528407,-1.1277156557258452e-11,-0.024622597250528407,0,0.00025482401004374466,0.0027583401958417952,outer_boundary
884736,0.5000001734296805,0.5000001734296805,0.00016552871187484468,-0.38930917932063475,0,0.04329854042019107,0.026614950805524545,884736,2.111111111111111,2.111111111111111,0.1154211696700879,-2.111111111111111,0,2.111111111111111,0.8574775279137969,current_lap_vs_midpoint_boundary,884736,2.111111111111111,2.111111111111111,-0.11525564095821306,-2.111111111111111,0,2.111111111111111,0.8581190604097689,all
763392,0.5000001734296805,0.5000001734296805,0.00019184011678050416,-0.38930917932063475,0,0.05949226074517583,0.028652160811496255,763392,1.6111111111111112,2.0972222222222223,-0.12322564490098323,-2.0972222222222223,0,1.6111111105265037,0.42640947107873334,current_lap_vs_midpoint_boundary,763392,2.0972222222222223,2.0972222222222223,0.12341748501776377,-1.6111111111111112,0,1.6111111105265037,0.4277955412145513,offline_fluid
711768,0.5000001734296805,0.5000001734296805,0.00020575413678235426,-0.38930917932063475,0,0.06699126516830184,0.029672985660811686,711768,0.8333333333216794,1.2638888888888888,-0.03435759881604507,-1.2638888888888888,0,0.49999999999986033,0.14877695197951238,current_lap_vs_midpoint_boundary,711768,1.2638888888888888,1.2638888888888888,0.03456335295282743,-0.8333333333113245,0,0.5,0.15310457321122808,tclb_fluid
38836,0.3392089450698752,0.38930917932063475,-0.003161057205331177,-0.38930917932063475,0,0.1599351746872898,0.11524888847731148,38836,1.46110812442343,1.46110812442343,0.001636236006351703,-1.4419191016341018,0,0.32279345738566945,0.18443746358693205,current_lap_vs_midpoint_boundary,38836,1.4419191016341018,1.46110812442343,-0.004797293211682881,-1.46110812442343,0,0.4253889301968159,0.2239710247782125,interface_offline_fluid
